"","Name","Class","Role","Tier","Score","Trend","Win..","Role..","Pick..","Ban..","KDA","Patch"
"168","Shaco","Assassin","SUPPORT","D",35.1,"-9.04",0.5018,0.1691,0.0121,0.1115,2.38,"13_1"
"169","Shen","Tank","TOP","S",63.58,"11.89",0.52,0.8597,0.0499,0.0085,3.07,"13_1"
"170","Shyvana","Fighter","JUNGLE","C",38.43,"-1.85",0.491,0.7772,0.0169,0.0034,2.5,"13_1"
"171","Shyvana","Fighter","TOP","C",37.88,"0.42",0.4832,0.1173,0.0025,0.0034,1.92,"13_1"
"172","Singed","Tank","TOP","A",52.47,"-0.22",0.5278,0.7381,0.0243,0.0099,2.05,"13_1"
"173","Singed","Tank","MID","A",50.87,"1.34",0.546,0.1439,0.0049,0.0097,2.79,"13_1"
"174","Sion","Tank","TOP","A",51.33,"6.72",0.5016,0.8043,0.0429,0.0111,1.72,"13_1"
"175","Sivir","Marksman","ADC","B",46.87,"10.95",0.5004,0.9787,0.0622,0.008,2.48,"13_1"
"176","Skarner","Fighter","JUNGLE","B",42.31,"-1.29",0.5208,0.7929,0.0096,0.0017,2.66,"13_1"
"177","Skarner","Fighter","TOP","C",35.66,"-5.94",0.4673,0.2471,0.0026,0.0019,2.02,"13_1"
"178","Sona","Support","SUPPORT","S",61.09,"-0.14",0.5232,0.9824,0.0588,0.0045,2.99,"13_1"
"179","Soraka","Support","SUPPORT","S",57.25,"-7.41",0.4966,0.9619,0.0642,0.029,2.76,"13_1"
"180","Swain","Mage","MID","A",54.59,"0.65",0.5287,0.3671,0.0253,0.038,2.83,"13_1"
"181","Swain","Mage","SUPPORT","B",48.17,"-5.57",0.5103,0.4813,0.0388,0.0415,2.44,"13_1"
"182","Swain","Mage","ADC","B",43.33,"2.98",0.5298,0.149,0.0085,0.038,2.91,"13_1"
"183","Sylas","Mage","JUNGLE","God",70.55,"-17.14",0.4857,0.495,0.0839,0.2359,2.54,"13_1"
